Name,ManaCost,Colors,ColorIdentity,Type,Category,CardType,IsLand,OracleText
You See a Pair of Goblins,3.0,R,R,Instant,"Instant, Token Generation",Instant,false,Choose one — • Charge Them — Creatures you control get +2/+0 until end of turn. • Befriend Them — Create two 1/1 red Goblin creature tokens.
Occupation of Llanowar,2.0,G,G,Battle — Control Point,"Battle, Removal",Battle,false,"(Any opponent may attack this battle. When an opponent defeats this, exile it, then put it onto the battlefield under that player's control with 4 defense counters. This is different from sieges!) At the beginning of your combat step, put a +1/+1 counter on target creature you control."
Fight as One,1.0,W,W,Instant,"Instant, Protection",Instant,false,Choose one or both — • Target Human creature you control gets +1/+1 and gains indestructible until end of turn. • Target non-Human creature you control gets +1/+1 and gains indestructible until end of turn.
Rhystic Circle,4.0,W,W,Enchantment,Enchantment,Enchantment,false,"{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage."
Hollow Specter,3.0,B,B,Creature — Specter,"Creature, Discard",Creature,false,"Flying Whenever this creature deals combat damage to a player, you may pay {X}. If you do, that player reveals X cards from their hand and you choose one of them. That player discards that card."
Mindmoil,5.0,R,R,Enchantment,"Card Draw, Enchantment",Enchantment,false,"Whenever you cast a spell, put the cards in your hand on the bottom of your library in any order, then draw that many cards."
High Noon,2.0,W,W,Enchantment,"Enchantment, Removal, Stax",Enchantment,false,"Each player can't cast more than one spell each turn. {4}{R}, Sacrifice this enchantment: It deals 5 damage to any target."
Suppression Ray // Orderly Plaza,5.0,U;W,U;W,Sorcery // Land,"Ramp, Sorcery",Sorcery,false,"Tap all creatures target player controls. You may pay any amount of {E}. If you do, choose up to that many creatures tapped this way. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.) // This land enters tapped. {T}: Add {W} or {U}."
Blightsteel Colossus,12.0,,,Artifact Creature — Phyrexian Golem,"Artifact, Creature, Protection",Creature,false,"Trample, infect, indestructible If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead."
"Kalitas, Bloodchief of Ghet",7.0,B,B,Legendary Creature — Vampire Warrior,"Creature, Removal, Token Generation",Creature,false,"{B}{B}{B}, {T}: Destroy target creature. If that creature dies this way, create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness."
Nightsquad Commando,3.0,B,B,Creature — Human Soldier,"Creature, Token Generation",Creature,false,"When this creature enters, if you attacked this turn, create a 1/1 white Human Soldier creature token."
Bristling Backwoods,0.0,,,Land — Desert,"Land, Removal",Land,true,"This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {G}."
Crown of Convergence,2.0,,,Artifact,Artifact,Artifact,false,"Play with the top card of your library revealed. As long as the top card of your library is a creature card, creatures you control that share a color with that card get +1/+1. {G}{W}: Put the top card of your library on the bottom of your library."
Deathbloom Thallid,3.0,B,B,Creature — Fungus,"Creature, Token Generation",Creature,false,"When this creature dies, create a 1/1 green Saproling creature token."
Promise of Tomorrow,3.0,W,W,Enchantment,"Board Wipe, Enchantment",Enchantment,false,"Whenever a creature you control dies, exile it. At the beginning of each end step, if you control no creatures, sacrifice this enchantment and return all cards exiled with it to the battlefield under your control."
Aardvark Sloth,4.0,W,W,Creature — Sloth Beast,"Creature, Life Gain",Creature,false,Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Phyrexian Slayer,4.0,B,B,Creature — Phyrexian Minion,Creature,Creature,false,"Flying Whenever this creature becomes blocked by a white creature, destroy that creature. It can't be regenerated."
Starfield Mystic,2.0,W,W,Creature — Human Cleric,Creature,Creature,false,"Enchantment spells you cast cost {1} less to cast. Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on this creature."
North Pole Gates,0.0,,,Land,"Card Draw, Land",Land,true,"This land enters tapped. {T}: Add {W} or {U}. {4}, {T}, Sacrifice this land: Draw a card."
Beckon Apparition,1.0,B;W,B;W,Instant,"Instant, Removal, Token Generation",Instant,false,Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.
Sunflare Shaman,2.0,R,R,Creature — Elemental Shaman,"Creature, Removal",Creature,false,"{1}{R}, {T}: This creature deals X damage to any target and X damage to itself, where X is the number of Elemental cards in your graveyard."
Auriok Siege Sled,6.0,,,Artifact Creature — Juggernaut,"Artifact, Creature",Creature,false,{1}: Target artifact creature blocks this creature this turn if able. {1}: Target artifact creature can't block this creature this turn.
Soldier of the Pantheon,1.0,W,W,Creature — Human Soldier,"Creature, Life Gain, Protection",Creature,false,"Protection from multicolored Whenever an opponent casts a multicolored spell, you gain 1 life."
Mass Appeal,3.0,U,U,Sorcery,"Card Draw, Sorcery",Sorcery,false,Draw a card for each Human you control.
Ransack,4.0,U,U,Sorcery,Sorcery,Sorcery,false,Look at the top five cards of target player's library. Put any number of them on the bottom of that library in any order and the rest on top of the library in any order.
"Witch-king, Sky Scourge",7.0,B;R,B;R,Legendary Creature — Wraith Noble,Creature,Creature,false,"Flying Whenever you attack with one or more Wraiths, exile the top X cards of your library, where X is their total power. You may play those cards this turn. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)"
Dragonfly Swarm,3.0,R;U,R;U,Creature — Dragon Insect,"Card Draw, Creature, Protection",Creature,false,"Flying, ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) This creature's power is equal to the number of noncreature, nonland cards in your graveyard. When this creature dies, if there's a Lesson card in your graveyard, draw a card."
Kormus Bell,4.0,,,Artifact,Artifact,Artifact,false,All Swamps are 1/1 black creatures that are still lands.
Emperor's Vanguard,4.0,G,G,Creature — Human Scout,Creature,Creature,false,"Whenever this creature deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Radiant Solar,6.0,W,W,Creature — Angel,"Creature, Discard, Life Gain",Creature,false,"Flying, lifelink Whenever this creature or another nontoken creature you control enters, venture into the dungeon. (Enter the first room or advance to the next room.) {W}, Discard this card: Venture into the dungeon and you gain 3 life."
Fetid Gargantua,5.0,B,B,Creature — Horror,"Card Draw, Creature",Creature,false,"{2}{B}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.) Whenever one or more +1/+1 counters are put on this creature, you may draw two cards. If you do, you lose 2 life."
Rackling,4.0,,,Artifact Creature — Phyrexian Construct,"Artifact, Creature",Creature,false,"At the beginning of each opponent's upkeep, this creature deals X damage to that player, where X is 3 minus the number of cards in their hand."
Citanul Hierophants,4.0,G,G,Creature — Human Druid,"Creature, Ramp",Creature,false,"Creatures you control have ""{T}: Add {G}."""
Duskmantle Prowler,4.0,B,B,Creature — Vampire Rogue,Creature,Creature,false,"Haste (This creature can attack and {T} as soon as it comes under your control.) Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)"
"Jace, Unraveler of Secrets",5.0,U,U,Legendary Planeswalker — Jace,"Card Draw, Planeswalker",Planeswalker,false,"+1: Scry 1, then draw a card. −2: Return target creature to its owner's hand. −8: You get an emblem with ""Whenever an opponent casts their first spell each turn, counter that spell."""
Waste Away,5.0,B,B,Instant,"Discard, Instant",Instant,false,"As an additional cost to cast this spell, discard a card. Target creature gets -5/-5 until end of turn."
Kumano's Blessing,3.0,R,R,Enchantment — Aura,Enchantment,Enchantment,false,"Flash Enchant creature If a creature dealt damage by enchanted creature this turn would die, exile it instead."
Genetic Recombinator,0.0,,,Artifact — Contraption,Artifact,Artifact,false,"Whenever you crank this Contraption, up to two target creatures each get +2/+2 until end of turn."
Death Denied,2.0,B,B,Instant — Arcane,Instant,Instant,false,Return X target creature cards from your graveyard to your hand.
Serene Heart,2.0,G,G,Instant,"Board Wipe, Instant",Instant,false,Destroy all Auras.
Luminescent Rain,3.0,G,G,Instant,"Instant, Life Gain",Instant,false,Choose a creature type. You gain 2 life for each permanent you control of that type.
"Garnet, Princess of Alexandria",2.0,G;W,G;W,Legendary Creature — Human Noble Cleric,Creature,Creature,false,"Lifelink Whenever Garnet attacks, you may remove a lore counter from each of any number of Sagas you control. Put a +1/+1 counter on Garnet for each lore counter removed this way."
Youthful Valkyrie,2.0,W,W,Creature — Angel,Creature,Creature,false,"Flying Whenever another Angel you control enters, put a +1/+1 counter on this creature."
White Orchid Phantom,2.0,W,W,Creature — Spirit Knight,"Creature, Removal",Creature,false,"Flying, first strike When this creature enters, destroy up to one target nonbasic land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle."
Goblin Spelunkers,3.0,R,R,Creature — Goblin Warrior,Creature,Creature,false,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Mana Flare,3.0,R,R,Enchantment,Enchantment,Enchantment,false,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Thistledown Liege,4.0,U;W,U;W,Creature — Kithkin Knight,Creature,Creature,false,Flash Other white creatures you control get +1/+1. Other blue creatures you control get +1/+1.
"Brisela, Voice of Nightmares",11.0,,,Legendary Creature — Eldrazi Angel,"Creature, Stax",Creature,false,"Flying, first strike, vigilance, lifelink Your opponents can't cast spells with mana value 3 or less."
Everdream,2.0,U,U,Instant,"Card Draw, Instant",Instant,false,"Draw a card. Splice onto instant or sorcery {2}{U} (As you cast an instant or sorcery spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Hidden Spider,1.0,G,G,Enchantment,Enchantment,Enchantment,false,"When an opponent casts a creature spell with flying, if this permanent is an enchantment, it becomes a 3/5 Spider creature with reach. (It can block creatures with flying.)"
Gardens of Tranquil Repose,0.0,,,Plane — Necros,Token Generation,Plane,false,"Suspended Animation — Whenever a creature dies, exile it. Its controller scries 1. Whenever chaos ensues, create X 3/3 black Dalek artifact creature tokens with menace, where X is one plus the number of cards exiled with Gardens of Tranquil Repose."
Serpentine Basilisk,4.0,G,G,Creature — Basilisk,Creature,Creature,false,"Whenever this creature deals combat damage to a creature, destroy that creature at end of combat. Morph {1}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
March of the World Ooze,6.0,G,G,Enchantment,"Enchantment, Token Generation",Enchantment,false,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types. Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token."
Barricade Breaker,7.0,,,Artifact Creature — Juggernaut,"Artifact, Creature",Creature,false,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.) This creature attacks each combat if able.
Zhalfirin Void,0.0,,,Land,Land,Land,true,"When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {C}."
Dwarven Priest,4.0,W,W,Creature — Dwarf Cleric,"Creature, Life Gain",Creature,false,"When this creature enters, you gain 1 life for each creature you control."
Snapback,2.0,U,U,Instant,"Instant, Removal",Instant,false,You may exile a blue card from your hand rather than pay this spell's mana cost. Return target creature to its owner's hand.
Baloth Pup,2.0,G,G,Creature — Beast,Creature,Creature,false,This creature has trample as long as it has a +1/+1 counter on it.
Geistwave,2.0,U,U,Instant,"Card Draw, Instant",Instant,false,"Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card."
Daybreak Coronet,2.0,W,W,Enchantment — Aura,"Enchantment, Life Gain",Enchantment,false,"Enchant creature with another Aura attached to it Enchanted creature gets +3/+3 and has first strike, vigilance, and lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)"
Ghost Vacuum,1.0,,,Artifact,"Artifact, Removal",Artifact,false,"{T}: Exile target card from a graveyard. {6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery."
Sheoldred's Edict,2.0,B,B,Instant,"Instant, Removal",Instant,false,Choose one — • Each opponent sacrifices a nontoken creature of their choice. • Each opponent sacrifices a creature token of their choice. • Each opponent sacrifices a planeswalker of their choice.
Corrupted Zendikon,2.0,B,B,Enchantment — Aura,Enchantment,Enchantment,false,"Enchant land Enchanted land is a 3/3 black Ooze creature. It's still a land. When enchanted land dies, return that card to its owner's hand."
Ingenious Mastery,3.0,U,U,Sorcery,"Card Draw, Sorcery, Token Generation",Sorcery,false,"You may pay {2}{U} rather than pay this spell's mana cost. If the {2}{U} cost was paid, you draw three cards, then an opponent creates two Treasure tokens and they scry 2. If that cost wasn't paid, you draw X cards."
Herald of the Sun,6.0,W,W,Creature — Angel,Creature,Creature,false,Flying {3}{W}: Put a +1/+1 counter on another target creature with flying.
Thrashing Wumpus,5.0,B,B,Creature — Beast,Creature,Creature,false,{B}: This creature deals 1 damage to each creature and each player.
Priest of the Haunted Edge,2.0,B,B,Snow Creature — Zombie Cleric,Creature,Creature,false,"{T}, Sacrifice this creature: Target creature gets -X/-X until end of turn, where X is the number of snow lands you control. Activate only as a sorcery."
Track Down,2.0,G,G,Sorcery,"Card Draw, Sorcery",Sorcery,false,"Scry 3, then reveal the top card of your library. If it's a creature or land card, draw a card. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom and the rest on top in any order.)"
Grixis Sojourners,4.0,B;R;U,B;R;U,Creature — Zombie Ogre,"Card Draw, Creature, Discard, Removal",Creature,false,"When you cycle this card and when this creature dies, you may exile target card from a graveyard. Cycling {2}{B} ({2}{B}, Discard this card: Draw a card.)"
Void Rend,3.0,B;U;W,B;U;W,Instant,"Instant, Removal",Instant,false,This spell can't be countered. Destroy target nonland permanent.
Gavony Unhallowed,4.0,B,B,Creature — Zombie,Creature,Creature,false,"Whenever another creature you control dies, put a +1/+1 counter on this creature."
Advent of the Wurm,4.0,G;W,G;W,Instant,"Instant, Token Generation",Instant,false,Create a 5/5 green Wurm creature token with trample.
Galuf's Final Act,2.0,G,G,Instant,Instant,Instant,false,"Until end of turn, target creature gets +1/+0 and gains ""When this creature dies, put a number of +1/+1 counters equal to its power on up to one target creature."""
Fetid Horror,4.0,B,B,Creature — Shade Horror,Creature,Creature,false,{B}: This creature gets +1/+1 until end of turn.
Eater of Days,4.0,,,Artifact Creature — Leviathan,"Artifact, Creature",Creature,false,"Flying, trample When this creature enters, you skip your next two turns."
Bitter Revelation,4.0,B,B,Sorcery,Sorcery,Sorcery,false,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.
Jund Panorama,0.0,,,Land,"Land, Tutor",Land,true,"{T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle."
Lokhust Heavy Destroyer,4.0,B,B,Artifact Creature — Necron,"Artifact, Creature",Creature,false,"Flying Enmitic Exterminator — When this creature enters, each player sacrifices a creature of their choice. Unearth {5}{B}{B}{B} ({5}{B}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Primal Prayers,4.0,G,G,Enchantment,Enchantment,Enchantment,false,"When this enchantment enters, you get {E}{E} (two energy counters). You may cast creature spells with mana value 3 or less by paying {E} rather than paying their mana costs. If you cast a spell this way, you may cast it as though it had flash."
Mesmeric Fiend,2.0,B,B,Creature — Nightmare Horror,"Creature, Removal",Creature,false,"When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. When this creature leaves the battlefield, return the exiled card to its owner's hand."
Shining Armor,2.0,W,W,Artifact — Equipment,Artifact,Artifact,false,"Flash When this Equipment enters, attach it to target Knight you control. Equipped creature gets +0/+2 and has vigilance. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
"Huang Zhong, Shu General",4.0,W,W,Legendary Creature — Human Soldier,Creature,Creature,false,Huang Zhong can't be blocked by more than one creature.
Ethersworn Shieldmage,3.0,U;W,U;W,Artifact Creature — Vedalken Wizard,"Artifact, Creature",Creature,false,"Flash When this creature enters, prevent all damage that would be dealt to artifact creatures this turn."
Merchant of Many Hats,2.0,B,B,Creature — Human Peasant Ally,Creature,Creature,false,{2}{B}: Return this card from your graveyard to your hand.
Kessig Prowler // Sinuous Predator,1.0,G,G,Creature — Werewolf Horror // Creature — Eldrazi Werewolf,Creature,Creature,false,{4}{G}: Transform this creature. // This creature can't be blocked by more than one creature.
Shrieking Mogg,2.0,R,R,Creature — Goblin,Creature,Creature,false,"Haste When this creature enters, tap all other creatures."
Cold Snap,3.0,W,W,Enchantment,Enchantment,Enchantment,false,"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) At the beginning of each player's upkeep, this enchantment deals damage to that player equal to the number of snow lands they control."
Amped Raptor,2.0,R,R,Creature — Dinosaur,Creature,Creature,false,"First strike When this creature enters, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost."
Swarmyard Massacre,5.0,B,B,Sorcery,"Sorcery, Token Generation",Sorcery,false,"Create two 1/1 green Squirrel creature tokens. Then each creature that isn't an Insect, Rat, Spider, or Squirrel gets -1/-1 until end of turn for each creature you control that's an Insect, Rat, Spider, or Squirrel."
Acidic Dagger,4.0,,,Artifact,"Artifact, Removal",Artifact,false,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice this artifact. Activate only before blockers are declared."
Infernal Contract,3.0,B,B,Sorcery,"Card Draw, Sorcery",Sorcery,false,"Draw four cards. You lose half your life, rounded up."
Parallax Tide,4.0,U,U,Enchantment,"Enchantment, Removal",Enchantment,false,"Fading 5 (This enchantment enters with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.) Remove a fade counter from this enchantment: Exile target land. When this enchantment leaves the battlefield, each player returns to the battlefield all cards they own exiled with it."
Food Chain,3.0,G,G,Enchantment,Enchantment,Enchantment,false,"Exile a creature you control: Add X mana of any one color, where X is 1 plus the exiled creature's mana value. Spend this mana only to cast creature spells."
Rust Elemental,4.0,,,Artifact Creature — Elemental,"Artifact, Creature",Creature,false,"Flying At the beginning of your upkeep, sacrifice another artifact. If you can't, tap this creature and you lose 4 life."
Viashino Cutthroat,4.0,R,R,Creature — Lizard,Creature,Creature,false,"Haste At the beginning of the end step, return this creature to its owner's hand."
Eldrazi Ravager,6.0,,,Creature — Eldrazi,"Card Draw, Creature, Discard",Creature,false,"Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.) Sacrifice two Eldrazi: Return this card from your graveyard to your hand. Cycling {2} ({2}, Discard this card: Draw a card.)"
"Zhang Liao, Hero of Hefei",6.0,B,B,Legendary Creature — Human Soldier,"Creature, Discard",Creature,false,"Whenever Zhang Liao deals damage to an opponent, that opponent discards a card."
Demon of Dark Schemes,6.0,B,B,Creature — Demon,Creature,Creature,false,"Flying When this creature enters, all other creatures get -2/-2 until end of turn. Whenever another creature dies, you get {E} (an energy counter). {2}{B}, Pay {E}{E}{E}{E}: Put target creature card from a graveyard onto the battlefield under your control tapped."
Tazeem Raptor,3.0,W,W,Creature — Bird,Creature,Creature,false,"Flying When this creature enters, you may return a land you control to its owner's hand."
Warmonger Hellkite,6.0,R,R,Creature — Dragon,Creature,Creature,false,Flying All creatures attack each combat if able. {1}{R}: Attacking creatures get +1/+0 until end of turn.
Endless Cockroaches,3.0,B,B,Creature — Insect,Creature,Creature,false,"When this creature dies, return it to its owner's hand."
Axebane Guardian,3.0,G,G,Creature — Human Druid,Creature,Creature,false,"Defender {T}: Add X mana in any combination of colors, where X is the number of creatures you control with defender."
Scout the Wilderness,3.0,G,G,Sorcery,"Sorcery, Token Generation, Tutor",Sorcery,false,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.) Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. If this spell was kicked, create two 1/1 white Soldier creature tokens."
Poison the Well,4.0,B;R,B;R,Sorcery,"Removal, Sorcery",Sorcery,false,Destroy target land. Poison the Well deals 2 damage to that land's controller.
"Duggan, Private Detective",4.0,G;U,G;U,Legendary Creature — Human Detective,"Card Draw, Creature, Removal",Creature,false,"Duggan's power and toughness are each equal to the number of cards in your hand. Whenever Duggan enters or attacks, investigate. The Most Important Punch in History — {1}{G}, {T}: Duggan deals damage equal to twice its power to another target creature. Activate only once."
Thoughtflare,5.0,R;U,R;U,Instant,"Card Draw, Discard, Instant",Instant,false,"Draw four cards, then discard two cards."
Dosan the Falling Leaf,3.0,G,G,Legendary Creature — Human Monk,Creature,Creature,false,Players can cast spells only during their own turns.
Incite,1.0,R,R,Instant,Instant,Instant,false,Target creature becomes red until end of turn and attacks this turn if able.
Whisper Agent,3.0,B;U,B;U,Creature — Human Rogue,Creature,Creature,false,"Flash When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Cat-Gator,7.0,B,B,Creature — Fish Crocodile,"Creature, Removal",Creature,false,"Lifelink When this creature enters, it deals damage equal to the number of Swamps you control to any target."
Hellkite Charger,6.0,R,R,Creature — Dragon,Creature,Creature,false,"Flying, haste Whenever this creature attacks, you may pay {5}{R}{R}. If you do, untap all attacking creatures and after this phase, there is an additional combat phase."
Hunter's Insight,3.0,G,G,Instant,"Card Draw, Instant, Removal",Instant,false,"Choose target creature you control. Whenever that creature deals combat damage to a player or planeswalker this turn, draw that many cards."
Private Research,1.0,U,U,Enchantment — Aura,"Card Draw, Enchantment",Enchantment,false,"Enchant creature At the beginning of your upkeep, you may put a page counter on this Aura. When enchanted creature dies, draw a card for each page counter on this Aura."
Cabal Patriarch,6.0,B,B,Legendary Creature — Human Wizard,"Creature, Removal",Creature,false,"{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn. {2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn."
Wrenn's Resolve,2.0,R,R,Sorcery,Sorcery,Sorcery,false,"Exile the top two cards of your library. Until the end of your next turn, you may play those cards."
On Wings of Gold,4.0,W,W,Enchantment,"Enchantment, Token Generation",Enchantment,false,"Creatures you control that are Zombies and/or tokens get +1/+1 and have flying. Whenever one or more cards leave your graveyard, create a 1/1 white Zombie creature token."
Vampire Nocturnus,4.0,B,B,Creature — Vampire,Creature,Creature,false,"Play with the top card of your library revealed. As long as the top card of your library is black, this creature and other Vampire creatures you control get +2/+1 and have flying."
Decorated Champion,2.0,G,G,Creature — Elf Warrior,Creature,Creature,false,"Whenever another Warrior your team controls enters, put a +1/+1 counter on this creature."
Ray of Dissolution,3.0,W,W,Instant,"Instant, Life Gain, Removal",Instant,false,Destroy target enchantment. You gain 3 life.
Obelisk of Bant,3.0,,,Artifact,"Artifact, Ramp",Artifact,false,"{T}: Add {G}, {W}, or {U}."
Spirit-Sister's Call,5.0,B;W,B;W,Enchantment,"Enchantment, Removal",Enchantment,false,"At the beginning of your end step, choose target permanent card in your graveyard. You may sacrifice a permanent that shares a card type with the chosen card. If you do, return the chosen card from your graveyard to the battlefield and it gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else."""
Stolen Uniform,1.0,U,U,Instant,Instant,Instant,false,"Choose target creature you control and target Equipment. Gain control of that Equipment until end of turn. Attach it to the chosen creature. When you lose control of that Equipment this turn, if it's attached to a creature you control, unattach it."
Flare,3.0,R,R,Instant,"Card Draw, Instant, Removal",Instant,false,Flare deals 1 damage to any target. Draw a card at the beginning of the next turn's upkeep.
Exalted Dragon,6.0,W,W,Creature — Dragon,"Creature, Stax",Creature,false,Flying This creature can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.)
Elvish Hexhunter,1.0,G;W,G;W,Creature — Elf Shaman,"Creature, Removal",Creature,false,"{G/W}, {T}, Sacrifice this creature: Destroy target enchantment."
Bushmeat Poacher,4.0,B,B,Creature — Human Soldier,"Card Draw, Creature, Life Gain",Creature,false,"{1}, {T}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness. Draw a card."
Reviving Dose,3.0,W,W,Instant,"Card Draw, Instant, Life Gain",Instant,false,You gain 3 life. Draw a card.
Rumbling Ruin,6.0,R,R,Creature — Elemental,Creature,Creature,false,"When this creature enters, count the number of +1/+1 counters on creatures you control. Creatures your opponents control with power less than or equal to that number can't block this turn."
Repurposing Bay,3.0,U,U,Artifact,"Artifact, Tutor",Artifact,false,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery."
Skinshifter,2.0,G,G,Creature — Human Shaman,Creature,Creature,false,"{G}: Choose one. Activate only once each turn. • Until end of turn, this creature becomes a Rhino with base power and toughness 4/4 and gains trample. • Until end of turn, this creature becomes a Bird with base power and toughness 2/2 and gains flying. • Until end of turn, this creature becomes a Plant with base power and toughness 0/8."
Alpha Myr,2.0,,,Artifact Creature — Myr,"Artifact, Creature",Creature,false,
Jeskai Elder,2.0,U,U,Creature — Human Monk,"Card Draw, Creature, Discard",Creature,false,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card."
Harmonious Grovestrider,5.0,G,G,Creature — Beast,"Creature, Protection",Creature,false,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) Harmonious Grovestrider's power and toughness are each equal to the number of lands you control."
Bog Naughty,5.0,B,B,Creature — Faerie,Creature,Creature,false,"Flying {2}{B}, Sacrifice a Food: Target creature gets -3/-3 until end of turn."
Archon of Redemption,5.0,W,W,Creature — Archon,"Creature, Life Gain",Creature,false,"Flying Whenever this creature or another creature you control with flying enters, you may gain life equal to that creature's power."
Truth or Tale,2.0,U,U,Instant,Instant,Instant,false,"Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put a card from the chosen pile into your hand, then put all other cards revealed this way on the bottom of your library in any order."
Psychic Strike,3.0,B;U,B;U,Instant,"Counterspell, Instant",Instant,false,Counter target spell. Its controller mills two cards.
Borderland Marauder,2.0,R,R,Creature — Human Warrior,Creature,Creature,false,"Whenever this creature attacks, it gets +2/+0 until end of turn."
Every Dream a Nightmare,0.0,,,Scheme,"Card Draw, Discard",Scheme,false,"When you set this scheme in motion, each opponent discards a card. You draw a card for each land card discarded this way."
Downpour,2.0,U,U,Instant,Instant,Instant,false,Tap up to three target creatures.
Mandate of Peace,2.0,W,W,Instant,"Board Wipe, Instant, Stax",Instant,false,"Cast this spell only during combat. Your opponents can't cast spells this turn. End the combat phase. (Remove all attackers and blockers from combat. Exile all spells and abilities from the stack, including this spell.)"
Ossification,2.0,W,W,Enchantment — Aura,"Enchantment, Removal",Enchantment,false,"Enchant basic land you control When this Aura enters, exile target creature or planeswalker an opponent controls until this Aura leaves the battlefield."
Mordor Muster,2.0,B,B,Sorcery,"Card Draw, Sorcery, Token Generation",Sorcery,false,"You draw a card and you lose 1 life. Amass Orcs 1. (Put a +1/+1 counter on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.)"
Shackle Slinger,3.0,U,U,Creature — Human Soldier,Creature,Creature,false,"Whenever you cast your second spell each turn, choose target creature an opponent controls. If it's tapped, put a stun counter on it. Otherwise, tap it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
"Kambal, Profiteering Mayor",3.0,B;W,B;W,Legendary Creature — Human Advisor,"Creature, Life Gain, Token Generation",Creature,false,"Whenever one or more tokens your opponents control enter, for each of them, create a tapped token that's a copy of it. This ability triggers only once each turn. Whenever one or more tokens you control enter, each opponent loses 1 life and you gain 1 life."
Test of Talents,2.0,U,U,Instant,"Card Draw, Instant, Removal",Instant,false,"Counter target instant or sorcery spell. Search its controller's graveyard, hand, and library for any number of cards with the same name as that spell and exile them. That player shuffles, then draws a card for each card exiled from their hand this way."
